diseases,shortness of breath,sharp chest pain,dizziness,cough,skin swelling,leg pain,sharp abdominal pain,vomiting,headache,nausea
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
